"Leerlingen en studenten; onderwijssoort, vanaf 1900"
"Género: Total de hombres y mujeres"
"";"Sujeto"
"";"Primair onderwijs|Lager onderwijs|Basisonderwijs";"Primair onderwijs|Lager onderwijs|Speciaal basisonderwijs";"Primair onderwijs|Speciaal onderwijs|Speciale scholen|Totaal speciale scholen";"Voortgezet onderwijs|Totaal voortgezet onderwijs";"Voortgezet onderwijs|Voortgezet onderwijs vanaf 1990|Voortgezet onderwijs alg. leerjaren 1-3";"Voortgezet onderwijs|Voortgezet onderwijs vanaf 1990|Vwo 3-6";"Voortgezet onderwijs|Voortgezet onderwijs vanaf 1990|Havo 3-5";"Middelbaar beroepsonderwijs vanaf 1950|Totaal mbo (exclusief extranei)";"Hoger beroepsonderwijs vanaf 1950|Totaal hbo";"Wetenschappelijk onderwijs|Totaal wo";"Volwasseneneducatie|Voortgezet algemeen volwassenenonderwijs|Totaal"
"Periodos";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000";"x 1 000"
"1900/'01";"755.0";"";"";"13.4";"";"";"";"";"";"2.8";""
"1910/11";"916.6";"";"";"18.9";"";"";"";"";"";"4.9";""
"1920/'21";"1040.1";"";"";"35.0";"";"";"";"";"";"8.6";""
"1930/31";"1182,5";"";"";"106.4";"";"";"";"";"";"12,1";""
"1940/41";"1143,4";"";"";"163.7";"";"";"";"";"";"14.8";""
"1950/51";"1215,8";"";"";"211.2";"";"";"";"75.0";"31.7";"29.7";""
"1960/61";"1415,7";"";"";"435.2";"";"";"";"113.4";"66.8";"40.7";"3.2"
"1970/71";"1462,4";"";"";"915.6";"";"";"";"193.3";"132.3";"103.5";"11.9"
"1980/81";"1333.3";"";"";"1226,4";"";"";"";"288.0";"216.9";"155.5";"107.3"
"1990/91";"1442,9";"";"";"916.5";"381.8";"139.0";"125.0";"468.6";"242.7";"182.0";"87.8"
"2000/'01";"1546,6";"51.6";"45.8";"894.1";"395.9";"128.2";"117.3";"452.0";"312.7";"166.3";"24.3"
"2010/'11";"1534,9";"42.8";"68.9";"939.5";"393.4";"164.7";"151.2";"528.0";"416.6";"242.3";"15.2"
"2011/'12";"1517,5";"41.8";"70.2";"948.7";"402.3";"163.5";"152.2";"520.0";"423.9";"245.4";"13.7"
"2012/'13";"1498.0";"39.9";"70.4";"960.7";"409.6";"161.8";"153.7";"510.9";"421.7";"241.4";"13.3"
"2013/'14";"1476,7";"38.1";"71.2";"973.5";"413.9";"161.3";"156.7";"498.1";"440.3";"250.2";"13.5"
"2014/'15";"1457,6";"36.8";"71.0";"985.1";"414.1";"163.5";"160.0";"481.4";"446.4";"255.7";"13.8"
"2015/'16";"1443.1";"34.7";"68.2";"995.3";"413.6";"167.0";"163.6";"476.3";"442.6";"261.2";"15.5"
"2016/'17";"1427,3";"33.9";"67.0";"995.5";"410.5";"171.1";"164.2";"483.4";"446.6";"268.0";"16.2"
"2017/'18";"1414.0";"34.0";"67.5";"985.3";"399.5";"173.7";"167.1";"487.1";"452.7";"280.0";"16.7"
"2018/'19";"1405,5";"34.9";"68.4";"968.2";"389.0";"173.9";"166.3";"497.1";"455.7";"294.7";"16.2"
"2019/'20";"1396,5";"35.7";"69.8";"950.5";"382.4";"173.0";"164.3";"503.0";"463.3";"306.9";"15.6"
"2020/'21";"1386,1";"35.7";"70.2";"934.2";"377.8";"173.3";"162.9";"508.8";"489.3";"331.4";"9.9"
"2021/'22";"1370,9";"35.4";"71.6";"929.6";"383.6";"170.8";"160.9";"502.3";"491.4";"344.6";"12.2"
"2022/'23";"1369,5";"34.6";"72.1";"936.6";"393.9";"166.0";"160.1";"482.8";"476.8";"344.1";"12.9"
"2023/'24";"1359,3";"33.9";"73.5";"940.5";"398.6";"163.1";"158.1";"468.6";"460.4";"343.9";"16.1"
"2024/'25*";"1353,5";"33.2";"74.7";"929.7";"395.2";"159.8";"154.0";"466.8";"449.9";"341.8";"15.4"
"Bron: CBS"
